Comunidad,Nombre,Direccion,Email,Telefono,Tipo
Castilla y León,Universidad de Burgos (UBU), Hospital del Rey s/n, CP 09001, BURGOS (BURGOS), info@ubu.es,947258700,pública
Castilla y León,IE Universidad (IE), C/ Cardenal Zúñiga, 12, CP 40003, SEGOVIA (SEGOVIA), info@ie.edu,921412410,privada
Castilla y León,Universidad Católica Santa Teresa de Jesús de Ávila (UCAV), C/Canteros,s/n, CP 05005, AVILA (ÁVILA), info@ucavila.es,920251020,privada
Castilla y León,Universidad Europea Miguel de Cervantes (UEMC), C/Padre Julio Chevalier, n°2, CP 47012, VALLADOLID (VALLADOLID), info@uemc.edu,983001000,privada
Castilla y León,Universidad Internacional Isabel I de Castilla (UI1), Fernán González, 76, CP 09003, BURGOS (BURGOS), info@ui1.es,947671731,privada
Castilla La Mancha,Universidad de Castilla-La Mancha (UCLM),Calle Altagracia, 50, CP 13071, CIUDAD REAL (CIUDAD REAL),null,902204100,pública
Cataluña,Universidad de Barcelona (UBA),Gran Via de Les Corts Catalanes, 585, CP 08007, BARCELONA (BARCELONA),sae@ub.edu,934021100,pública
Cataluña,Universidad Autónoma de Barcelona (UAB),Campus de Bellaterra, Plaça Cívica CP 08193, CERDANYOLA DEL VALLES (BARCELONA),informacio@uab.es,935811111,pública
Cataluña,Universidad Politécnica de Catalunya (UPC),Calle Jordi Girona, 31, CP 08034, BARCELONA (BARCELONA),info@upc.edu,934016200,pública
Cataluña,Universidad Pompeu Fabra (UPF),Plaça de la Mercè, 10-12, CP 08002, BARCELONA (BARCELONA),null,935422000,pública
Cataluña,Universidad Ramón Llull (URLL),Calle Claravall, 1-3, CP 08022, BARCELONA (BARCELONA),info@url.edu,936022200,privada
Cataluña,Universidad Rovira i Virgili (URV),Calle del Escorxador, s/n, CP 43003, TARRAGONA (TARRAGONA),contacteu@urv.cat,977558021,pública
Cataluña,Universidad de Girona (UDG),Plaza Sant Domènec, 3. Edificio Les Àligues, CP 17004, GIRONA (GIRONA),informacio@udg.es,972418000,pública
Cataluña,Universidad de Lleida (UDL),Plaza Víctor Siurana, 1, CP 25003, LLEIDA (LLEIDA),sg.secretaria@udl.cat,973702000,pública
Cataluña,Universitat Oberta de Catalunya (UOC),Avenida Tibidabo, 39-43, CP 08035, BARCELONA (BARCELONA),null,902372373,privada
Cataluña,Universidad de Vic-Universidad Central de Catalunya (UVIC),Campus de Miramarges. Carrer de la Sagrada Familia, 7, CP 08500, VIC (BARCELONA),info@uvic.cat,938861222,privada
Cataluña,Universitat Internacional de Catalunya (UIC),Calle Inmaculada, 22, CP 08017, BARCELONA (BARCELONA),,932541800,privada
Cataluña,Universitat Abat Oliba CEU (UAO),Calle Bellesguard, 30, CP 08022, BARCELONA (BARCELONA),info@uao.es,932540900,privada
Madrid,Universidad Complutense de Madrid (UCM),Avda. de Séneca, 2, Ciudad Universitaria, s/n, CP 28040, MADRID (MADRID),infocom@ucm.es,914520400,pública
Madrid,Universidad Autónoma de Madrid (UAM),Ciudad Universitaria de Cantoblanco, CP 28049, MADRID (MADRID),informacion.general@uam.es,914975000,pública
Madrid,Universidad Politécnica de Madrid (UPM),Paseo de Juan XXIII, 11, CP 28040, MADRID (MADRID),acceso.universidad@upm.es,913366200,pública
Madrid,Universidad Nacional de Educación a Distancia (UNED),Calle Bravo Murillo, 38, CP 28015, MADRID (MADRID),infouned@adm.uned.es,913986000,pública
Madrid,Universidad de Alcalá (UAH),Plaza San Diego, s/n, CP 28801, ALCALA DE HENARES (MADRID),info@uah.es,918855000,pública
Madrid,Universidad Pontificia Comillas (COMILLAS),Calle Alberto Aguilera, 23, CP 28015, MADRID (MADRID),info_secre@secretaria.upcomillas.es,915422800,privada
Madrid,Universidad Carlos III de Madrid (UCAR),Calle Madrid, 126-128, CP 28903, GETAFE (MADRID),caso@uc3m.es,916249500,pública
Madrid,Universidad San Pablo-CEU (UCEU),Calle Julián Romea, 23, CP 28003, MADRID (MADRID),informa@ceu.es,914566300,privada
Madrid,Universidad Alfonso X El Sabio (UAX),Campus de Villanueva de la Cañada. Avenida de la Universidad, 1, CP 28691, VILLANUEVA DE LA CAÑADA (MADRID),info@uax.es,919100170,privada
Madrid,Universidad Antonio de Nebrija (UANE),Campus de La Berzosa. Calle Hostal, s/n, CP 28240, HOYO DE MANZANARES (MADRID),informa@nebrija.es,900321322,privada
Madrid,Universidad Europea de Madrid (UEM),Calle Tajo, s/n. Urbanización El Bosque, CP 28670, VILLAVICIOSA DE ODON (MADRID),uem@uem.es,914146611,privada
Madrid,Universidad Rey Juan Carlos (URJC),Calle Tulipán, s/n, CP 28933, MOSTOLES (MADRID),info@urjc.es,916655060,pública
Madrid,Universidad Camilo José Cela (UCJC),Castillo de Alarcón, 49. Urbanización Villafranca del Castillo, CP 28692, VILLANUEVA DE LA CAÑADA (MADRID),info@ucjc.edu,918153131,privada
Madrid,Universidad Francisco de Vitoria (UFV),Ctra. M-515, Pozuelo-Majadahonda, Km. 1800, CP 28223, POZUELO DE ALARCON (MADRID),info@ufv.es,913510303,privada
Madrid,Universidad Internacional Menéndez Pelayo (UIMP),Calle Isaac Peral, 23, CP 28040, MADRID (MADRID),alumnos.posgrado@uimp.es,915920600,pública
Madrid,Universidad a Distancia de Madrid (UDIMA),Carretera de La Coruña, KM. 38,500, Vía de Servicio, nº 15, CP 28400 Collado Villalba (MADRID),informa@udima.es,918561699,privada
Madrid,ESIC Universidad (ESIC),Avenida Valdenigrales s/n, CP 28223, POZUELO DE ALARCÓN (MADRID),info.madrid@esic.edu,914524100,privada
Madrid,Universidad Internacional Villanueva (UV),C/ Costa Brava nº 6, CP 28034, MADRID (MADRID),null,917340413,privada
Madrid,CUNEF Universidad (CUNEF),Campus Pirineos, Calle Pirineos, 55, CP 28040 Madrid (MADRID),info@cunef.edu,914445161,privada
Madrid,Universidad Internacional de la Empresa (UNIE),C/ Arapiles, 14, CP 28015 Madrid (MADRID),null,919032201,privada
Madrid,Universidad de Diseño, Innovación y Tecnología (UDIT),Avenida de Alfonso XIII nº 97 y 99, CP 28016, MADRID (MADRID),null,915552528,privada
Navarra,Universidad de Navarra (UN),Campus universitario, CP 31080, PAMPLONA/IRUÑA (NAVARRA),info@unav.es,948425600,privada
Navarra,Universidad Pública de Navarra (UPNA),Campus de Arrosadía, CP 31006, PAMPLONA/IRUÑA (NAVARRA),oficina.informacion@unavarra.es,948169000,pública
Valencia,Universidad de Alicante (UA),Carretera San Vicente del Raspeig, s/n, CP 03690, SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG (ALICANTE),informacio@ua.es,965903400,pública
Valencia,Universitat de València (Estudi General) (UV),Avenida Blasco Ibáñez, 13, CP 46010, VALENCIA (VALENCIA),servei.estudiants@uv.es,963864100,pública
Valencia,Universitat Politècnica de València (UPV),Camino de Vera, s/n. Edificio 3A, CP 46022, VALENCIA (VALENCIA),informacion@upv.es,963877000,pública
Valencia,Universidad Jaume I de Castellón (UJI),Avenida de Vicent Sos Baynat, s/n, CP 12071, CASTELLON DE LA PLANA (CASTELLÓN),info@uji.es,964728000,pública
Valencia,Universidad Miguel Hernández de Elche (UMH),Avenida de la Universidad, s/n, CP 03202, ELCHE/ELX (ALICANTE),info@umh.es,966658500,pública
Valencia,Universidad Cardenal Herrera-CEU (UCH),Carrer Lluís Vives, 1, CP 46115 Alfara del Patriarca (VALENCIA),null,961369000,privada
Valencia,Universidad Católica de Valencia San Vicente Mártir (UCV),Calle Guillem de Castro, 94, CP 46001, VALENCIA (VALENCIA),null,963637412,privada
Valencia,Universitat Internacional Valenciana (VIU),Calle del Pintor Sorolla, 21, CP 46002 València (VALENCIA),estudios@campusviu.es,960968126,privada
Valencia,Universidad Europea de Valencia (-),Paseo de la Alameda, 7, CP 46010 Valencia (VALENCIA) (VALENCIA),null,961043880,privada
Extremadura,Universidad de Extremadura (UEX),Avenida de Elvas, s/n, CP 06071, BADAJOZ (BADAJOZ),cau@unex.es,924289300,pública
Galicia,Universidad de Santiago de Compostela (USC),Plaza del Obradoiro, s/n, CP 15782, SANTIAGO DE COMPOSTELA (A CORUÑA),oiu@usc.gal,881812000,pública
Galicia,Universidad de A Coruña (UDC),Calle Maestranza, 9, CP 15001, A CORUÑA (A CORUÑA),info@udc.gal,981167000,pública
Galicia,Universidad de Vigo (UVI),Campus Universitario, CP 36310, VIGO (PONTEVEDRA),informacion@uvigo.es,986812000,pública
Galicia,Universidad Intercontinental de la Empresa (UIE),Rúa Nova, 33, CP 15705, SANTIAGO DE COMPOSTELA (A CORUÑA),info@uie.edu,900897555,privada
Islas Baleares,Universitat de les Illes Balears (UIB),Carretea de Valldemossa, km 7.5, CP 07122, PALMA DE MALLORCA (ILLES BALEARS),E-mail: informacio@uib.es,971173000,pública
La Rioja,Universidad de La Rioja (UR),Avenida de La Paz , 93, CP 26006, LOGROÑO (LA RIOJA),sec.general@unirioja.es,941299000,pública
La Rioja,Universidad Internacional de La Rioja (UNIR),Gran Avda. de la Paz, 137, CP 26006, LOGROÑO (LA RIOJA),info@unir.net,941209743,privada
Pais Vasco,Universidad del País Vasco/Euskal Herriko Unibertsitatea (UPV / EHU),Bº de Sarriena, s/n, CP 48940, ELEXALDE (BIZKAIA),E-mail: e-administrazioa@ehu.eus,946012000,pública
Pais Vasco,Universidad de Deusto (UDE),Avenida de las Universidades 24, CP 48007, BILBAO (BIZKAIA),secretaria.general@deusto.es,944139000,privada
Pais Vasco,Mondragón Unibertsitatea (UMON),Loramendi, 4. Apartado 23, CP 20500, ARRASATE/MONDRAGON (GIPUZKOA),null,943712185,privada
Pais Vasco,Universidad Euneiz (-),Paseo de la Biosfera nº 6, CP 1013, VITORIA-GASTEIZ (ARABA/ÁLAVA),info@euneiz.com,945255007,privada
Asturias,Universidad de Oviedo (UOV),C/ Principado 3, CP 33003, OVIEDO (ASTURIAS),coie@rectorado.uniovi.es,985103000,pública
 Murcia,Universidad de Murcia (UMU),Avda. Teniente Flomesta, nº 5, CP 30003, MURCIA (MURCIA),null,868363000,pública
 Murcia,Universidad Politécnica de Cartagena (UPCT),Pza. del Cronista Isidoro Valverde, Edif. La Milagrosa, CP 30202, CARTAGENA (MURCIA),gestion.academica@upct.es,968325400,pública
 Murcia,Universidad Católica San Antonio (UCAM),Campus de los Jerónimos, s/n Guadalupe, CP 30107, MURCIA (MURCIA),info@ucam.edu,968278800,privada
